title,company,location, link
Senior Design Consultant,Synopsys,대한민국,https://kr.indeed.com/viewjob?jk=7e9a745cd8bdcbe3
주식운용실(퀀트운용팀) 인턴사원,유진자산운용,대한민국,https://kr.indeed.com/viewjob?jk=953a4e73b00652f5
데이터 분석가/사이언티스트(신입/경력),쏘카,대한민국,https://kr.indeed.com/viewjob?jk=776a7ce9f625189d
Data Scientist,"Koniag, Inc.",대한민국,https://kr.indeed.com/viewjob?jk=193bfe67eed05c31
보훈대상자 인재 채용,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=dfcb86f156623e5c
"[해외취업] 미국, FiscalNote, Data Engineer/Analyst and Software Developer",FiscalNote,대한민국,https://kr.indeed.com/viewjob?jk=9d5efca029cc8f9b
"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany,경상남도,https://kr.indeed.com/viewjob?jk=2b7bc67cebf49cc0
2020년도 2차 정규직원,한국고용정보원,충청북도 음성,https://kr.indeed.com/viewjob?jk=6ba320900941cbad
블록체인 시스템 엔지니어 채용(무관),네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=ef10a663799ced7d
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
Machine Learning Researcher (Intern),Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=0f7993638aee82bd
[해외취업] AI 엔지니어,株式会社ASCOM,대한민국,https://kr.indeed.com/viewjob?jk=cdc69e78bbccefd3
[아이콘트롤스] 2020년 경력 직원 (데이터분석),현대산업개발,대한민국,https://kr.indeed.com/viewjob?jk=792d3ac05912a792
[해외취업] 【AI・RPAエンジニア】経験半年の方も歓迎 10ヵ国の技術者が在籍,株式会社リープ,대한민국,https://kr.indeed.com/viewjob?jk=bad0f76842269b46
Legacy Versum [리가시 버슘] Automation Engineer 평택,Merck KGaA,경기도,https://kr.indeed.com/viewjob?jk=03fa253ba96ac599
"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌,대한민국,https://kr.indeed.com/viewjob?jk=3e2ccf374eae0c90
"Field Application Engineer, Korea",Arteris,대한민국,https://kr.indeed.com/viewjob?jk=1b06cec85f4b58e8
풀스텍 개발자,thecompany,경상남도,https://kr.indeed.com/viewjob?jk=324c4d2fbbec4bd7
